POSTCODE,SUBURB,STATE,PO BOX,COUNTRY,LONG,LAT
822,WURRUMIYANGA,NT,0,AU,130.6254299,-11.75841975
828,BERRIMAH,NT,0,AU,130.9301751,-12.44363286
828,KNUCKEY LAGOON,NT,0,AU,130.9472376,-12.42454193
829,HOLTZE,NT,0,AU,131.0055834,-12.44850199
829,PINELANDS,NT,0,AU,130.9597671,-12.45763297
830,ARCHER,NT,0,AU,130.9580765,-12.52139649
830,DRIVER,NT,0,AU,130.9769379,-12.48350577
830,DURACK,NT,0,AU,130.9713734,-12.47289226
830,FARRAR,NT,0,AU,130.9981781,-12.48027088
830,GRAY,NT,0,AU,130.9822787,-12.49036173
830,MARLOW LAGOON,NT,0,AU,130.9543156,-12.49978439
830,MOULDEN,NT,0,AU,130.9731289,-12.50559321
830,PALMERSTON,NT,0,AU,130.983218,-12.480648
830,SHOAL BAY,NT,0,AU,131.0500548,-12.36648166
830,WOODROFFE,NT,0,AU,130.9801596,-12.50172408
830,YARRAWONGA,NT,0,AU,130.98817,-12.47239981
831,PALMERSTON,NT,0,AU,130.983218,-12.480648
832,BAKEWELL,NT,0,AU,130.9936551,-12.49684676
832,BELLAMACK,NT,0,AU,130.9830307,-12.51562954
832,GUNN,NT,0,AU,130.9930744,-12.48765815
832,JOHNSTON,NT,0,AU,131.0063506,-12.49297483
832,MITCHELL,NT,0,AU,130.9943032,-12.52910254
832,ROSEBERY,NT,0,AU,130.9911196,-12.50707849
832,ROSEBERY HEIGHTS,NT,0,AU,130.988349,-12.501969
832,ZUCCOLI,NT,0,AU,131.0058233,-12.51070433
834,VIRGINIA,NT,0,AU,131.0234875,-12.54686461
835,HOWARD SPRINGS,NT,0,AU,131.0616955,-12.47080713
836,GIRRAWEEN,NT,0,AU,131.0956551,-12.52527533
836,HERBERT,NT,0,AU,131.1619838,-12.53412144
836,HUMPTY DOO,NT,0,AU,131.1272564,-12.58487247
837,MANTON,NT,0,AU,131.1810866,-12.81102828
837,NOONAMAH,NT,0,AU,131.094044,-12.64187171
838,BERRY SPRINGS,NT,0,AU,131.0067348,-12.71878122
839,COOLALINGA,NT,0,AU,131.0402017,-12.52001124
840,DUNDEE BEACH,NT,0,AU,130.3529386,-12.72451307
840,DUNDEE DOWNS,NT,0,AU,130.5109414,-12.76554875
840,DUNDEE FOREST,NT,0,AU,130.4518371,-12.71366907
841,DARWIN RIVER,NT,0,AU,130.969862,-12.81922863
845,BATCHELOR,NT,0,AU,131.0784119,-13.09385036
846,ADELAIDE RIVER,NT,0,AU,131.1557525,-13.1678663
847,PINE CREEK,NT,0,AU,131.8261976,-13.82356558
850,COSSACK,NT,0,AU,132.1721041,-14.46369137
850,EMUNGALAN,NT,0,AU,132.2418315,-14.4161067
850,KATHERINE,NT,0,AU,132.2715144,-14.45211412
850,KATHERINE EAST,NT,0,AU,132.2874375,-14.46576308
850,KATHERINE SOUTH,NT,0,AU,132.2598385,-14.48180579
850,LANSDOWNE,NT,0,AU,132.3888705,-14.43162875
852,ARNOLD,NT,0,AU,134.3769898,-16.07839
852,BAINES,NT,0,AU,129.4842959,-15.90897497
852,BARUNGA,NT,0,AU,132.8673924,-14.52664756
852,BESWICK,NT,0,AU,133.1150782,-14.55801958
852,BESWICK CREEK,NT,0,AU,133.3001701,-14.43207837
852,BINJARI,NT,0,AU,132.1841678,-14.5501072
852,BIRDUM,NT,0,AU,133.5378622,-16.23196977
852,BRADSHAW,NT,0,AU,130.534439,-15.09737856
852,BUCHANAN,NT,0,AU,129.6208296,-17.80951107
852,BULMAN WEEMOL,NT,0,AU,134.3037985,-13.65022603
852,CRESWELL,NT,0,AU,135.8076202,-17.82741422
852,DAGURAGU,NT,0,AU,130.8021087,-17.41926848
852,DALY WATERS,NT,0,AU,133.3790821,-16.26203273
852,DELAMERE,NT,0,AU,131.6691884,-15.4019318
852,EDITH,NT,0,AU,131.8172473,-13.99360017
852,ELSEY,NT,0,AU,133.546834,-15.07384438
852,FLORINA,NT,0,AU,131.9083299,-14.5152899
852,FLYING FOX,NT,0,AU,134.1976975,-14.15932656
852,GREGORY,NT,0,AU,130.3336523,-16.34525224
852,GULUNG MARDRULK,NT,0,AU,133.5636211,-13.53798419
852,GURINDJI,NT,0,AU,131.0885202,-18.22634802
852,HELEN SPRINGS STATION,NT,0,AU,,
852,JILKMINGGAN,NT,0,AU,133.292842,-14.96147762
852,KALKARINDJI,NT,0,AU,130.832639,-17.44449505
852,LAJAMANU,NT,0,AU,130.4319876,-18.45981771
852,LARRIMAH,NT,0,AU,133.2354683,-15.60630406
852,LIMMEN,NT,0,AU,134.936628,-15.104596
852,MANBULLOO,NT,0,AU,132.2606441,-14.84867006
852,MARANBOY,NT,0,AU,132.864374,-14.524609
852,MATARANKA,NT,0,AU,133.0434117,-14.96983009
852,MCARTHUR,NT,0,AU,135.9389164,-16.26282987
852,MINIYERI,NT,0,AU,134.0797817,-15.2254374
852,NGUKURR,NT,0,AU,134.7440734,-14.73158731
852,NITMILUK,NT,0,AU,132.5362579,-14.11434123
852,PELLEW ISLANDS,NT,0,AU,136.8142529,-15.66080497
852,PIGEON HOLE,NT,0,AU,131.215146,-16.79514658
852,ROBINSON RIVER,NT,0,AU,136.9827659,-16.75852817
852,STURT PLATEAU,NT,0,AU,132.6120699,-15.65938858
852,TANAMI EAST,NT,0,AU,132.7009096,-18.61662725
852,TIMBER CREEK,NT,0,AU,130.4960315,-15.66155041
852,TOP SPRINGS,NT,0,AU,131.8014849,-16.54851117
852,URALLA,NT,0,AU,132.2980338,-14.49121431
852,VENN,NT,0,AU,132.539518,-14.55560838
852,VICTORIA RIVER,NT,0,AU,131.5356628,-16.66340592
852,WARUMUNGU,NT,0,AU,133.952899,-20.02830877
852,WAVE HILL,NT,0,AU,131.118274,-17.393758
852,WILTON,NT,0,AU,134.9242872,-14.43717242
852,YARRALIN,NT,0,AU,130.8418661,-16.4525888
853,TINDAL,NT,0,AU,132.3791217,-14.53113365
854,BORROLOOLA,NT,0,AU,136.3086573,-16.07034314
854,KING ASH BAY,NT,0,AU,136.3091159,-16.070754
860,TENNANT CREEK,NT,0,AU,134.1871598,-19.65481117
861,TENNANT CREEK,NT,0,AU,134.1871598,-19.65481117
862,CALVERT,NT,0,AU,137.4667145,-16.79698963
862,ELLIOTT,NT,0,AU,133.5450461,-17.5541338
862,NEWCASTLE WATERS,NT,0,AU,133.399551,-17.36823958
862,NICHOLSON,NT,0,AU,137.6072968,-18.45128815
862,PAMAYU,NT,0,AU,134.055559,-17.60786065
862,RENNER SPRINGS,NT,0,AU,133.889854,-23.695943
862,TABLELANDS,NT,0,AU,135.5134605,-18.92862068
862,TENNANT CREEK,NT,0,AU,134.189667,-19.649844
862,WARREGO,NT,0,AU,134.068348,-19.512201
870,ALICE SPRINGS,NT,0,AU,133.8807472,-23.69804218
870,ARALUEN,NT,0,AU,133.853957,-23.6967102
870,BRAITLING,NT,0,AU,133.8633044,-23.67527346
870,CICCONE,NT,0,AU,133.8678028,-23.69234565
870,DESERT SPRINGS,NT,0,AU,133.8867138,-23.71460854
870,EAST SIDE,NT,0,AU,133.8971833,-23.69030677
870,GILLEN,NT,0,AU,133.8660005,-23.71080361
870,SADADEEN,NT,0,AU,133.9010002,-23.70326702
870,STUART,NT,0,AU,133.8823863,-23.6730301
870,THE GAP,NT,0,AU,133.8740968,-23.71393895
870,WHITE GUMS,NT,0,AU,133.7578528,-23.75188561
871,ALICE SPRINGS,NT,0,AU,133.8807472,-23.69804218
872,ALI CURUNG,NT,0,AU,134.3248508,-21.01986849
872,ALICE SPRINGS,NT,0,AU,133.880889,-23.700358
872,AMPILATWATJA,NT,0,AU,135.2469212,-21.66430243
872,ANATYE,NT,0,AU,136.9536687,-22.99400232
872,ANMATJERE,NT,0,AU,134.0970699,-22.3989311
872,AREYONGA,NT,0,AU,132.2726231,-24.08506348
872,ATITJERE,NT,0,AU,134.932556,-22.98205755
872,AYERS RANGE SOUTH,SA,0,AU,133.2680322,-26.1906007
872,BARROW CREEK,NT,0,AU,133.975551,-21.379898
872,BURT PLAIN,NT,0,AU,133.4488082,-23.36823008
872,CANTEEN CREEK,NT,0,AU,135.586508,-20.64026544
872,CHILLA WELL,NT,0,AU,131.3745808,-21.64196866
872,COSTELLO,NT,0,AU,136.7750667,-21.00078643
872,DAVENPORT,NT,0,AU,134.8291358,-20.94859492
872,DE ROSE HILL,SA,0,AU,133.3111959,-26.5560969
872,ENGAWALA,NT,0,AU,134.4572304,-22.80352884
872,ERLDUNDA,NT,0,AU,133.201944,-25.198972
872,ERNABELLA,SA,0,AU,,
872,FINKE,NT,0,AU,134.5779772,-25.57315209
872,GHAN,NT,0,AU,133.945318,-25.50869599
872,GIBSON DESERT NORTH,WA,0,AU,126.5742686,-22.50227536
872,GIBSON DESERT SOUTH,WA,0,AU,125.9841842,-24.94725917
872,HAASTS BLUFF,NT,0,AU,131.865343,-23.4532258
872,HALE,NT,0,AU,134.965227,-24.08113872
872,HART,NT,0,AU,135.5988293,-23.02087465
872,HART RANGE,NT,0,AU,134.8333333,-23.1666667
872,HERMANNSBURG,NT,0,AU,132.7960098,-23.93802519
872,HUGH,NT,0,AU,133.610012,-24.11229981
872,IMANPA,NT,0,AU,132.5687636,-25.1175562
872,INDULKANA,SA,0,AU,,
872,ININTI STORE,NT,0,AU,131.6138326,-23.4686864
